,index,name,recipe,ingridients
533,533,Кафе Жермен,Налей в шейкер лимонный сок 20 мл и персиковый сироп 20 мл. Добавь кальвадос 35 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденный бокал. Налей в сифон ликер из цветков бузины 30 мл . Закрой сифон и взбей 34 раза. Укрась ликерной пеной из сифона и китайским перцем в гранулах,"кальвадос, ликер из цветков бузины, персиковый сироп, лимонный сок, китайский перец в гранулах, лед в кубиках"
534,534,Орсини,"Налей в шейкер кофе терпентинный 15 мл, красный вермут 45 мл и коньяк 10 мл. Добавь кофейный ликер 2 дэш и водку 35 мл. Наполни шейкер кубиками льда и тщательно взбей . Перелей через стрейнер в рокс. Налей в сифон белок перепелиного яйца 25 мл, молоко 75 мл и воду из цветков апельсина 3 дэш. Закрой сифон и взбей 34 раза. Перелей пену в миску и поставь на рокс. Укрась кунжутом, кокосовой стружкой и ванилью в стручках","водка, коньяк, красный вермут, кофейный ликер, кофе терпентинный, вода из цветков апельсина, молоко, белок перепелиного яйца, ваниль в стручках, кокосовая стружка, кунжут, лед в кубиках"
535,535,Медовый Версаль,"Положи в нагретую сковороду мед 10 мл и ежевику 4 ягоды. Помешивая, на слабом огне доведи до однородной консистенции. Добавь стебель лимонной травы, ликер трипл сек 10 мл и коньяк 50 мл. Подожги содержимое сковороды и дай немного погореть. Перелей через ситечко в коньячный бокал. Укрась ягодкой ежевики","коньяк, трипл сек, ежевика, лимонная трава, мед"
536,536,Через всю страну,"Наполни рокс кубиками льда. Налей в шейкер белок перепелиного яйца 20 мл, сироп маракуйи 30 мл, амаро 15 мл и ржаной виски 45 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в рокс. Выжми дольку апельсина и укрась ею коктейль","ржаной виски, амаро, сироп маракуйи, белок перепелиного яйца, апельсин, лед в кубиках"
537,537,Лонг берри айс ти,"Наполни бокал для вина дробленым льдом на 1/3. Налей лаймовый сок 10 мл, малиновый сироп 20 мл, ликер трипл сек 20 мл, серебряную текилу 20 мл и белый ром 20 мл. Добавь джин 20 мл и водку 20 мл и аккуратно размешай коктейльной ложкой. Положи нарезанные клубнику 2 ягоды и ежевику 2 ягоды. Добавь ягоды двух веточек красной смородины и пару листиков мяты. Досыпь дробленый лед доверху. Укрась веточкой мяты и ягодами красной смородины, посыпанными сахарной пудрой","серебряная текила, лондонский сухой джин, водка, белый ром, трипл сек, малиновый сироп, лаймовый сок, ежевика, клубника, красная смородина, мята, сахарная пудра, дробленый лед"
538,538,Имбирный смэш,"Наполни рокс кубиками льда доверху. Положи в шейкер корень имбиря 2 дольки и ананас 1 дольку. Добавь сахарный песок 2 коктейльных ложки и подави мадлером. Налей лаймовый сок 15 мл, яблочный ликер желтый 15 мл, ликер мараскино 15 мл и белый ром 45 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в рокс. Укрась листьями ананаса","белый ром, ликер мараскино, яблочный ликер желтый, лаймовый сок, ананас, ананасовые листья, сахарный песок, корень имбиря, лед в кубиках"
539,539,Шоколадный океан,"Полуторалитровой бутыли хватит примерно на 5 коллинзов. Налей в блендер мед 200 мл, воду  1000 мл и коньяк 100 мл. Добавь соль 5 г, домашний какаодистиллят 200 мл и саке 200 мл. Тщательно взбей. Отфильтруй жидкость через марлю в бутыль. Подавай коктейль в коллинзе с ледяным кубом. Перед подачей газируй коктейль в перлини шейкере. Укрась веточкой солероса","коньяк, домашний какао дистиллят, саке, вода без газа, солерос, мед, соль, ледяной куб"
540,540,Чер­но­смо­ро­ди­но­вый ли­мо­над в кув­ши­не,Литрового кувшина хватит примерно на 4 хайбола. Наполни кувшин кубиками льда на 2/3. Положи в шейкер черносмородиновый джем 15 коктейльных ложек. Налей сироп макадамия 40 мл и лимонный сок 45 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в кувшин. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Укрась ягодами черной смородины и цветком орхидеи,"сироп макадамии, лимонный сок, содовая, черная смородина, орхидея, черносмородиновый джем, лед в кубиках"
541,541,Джин биттер лемон,Наполни хайбол кубиками льда доверху. Налей джин 50 мл . Долей биттер лемон доверху и аккуратно размешай коктейльной ложкой. Укрась долькой грейпфрута,"лондонский сухой джин, биттер лемон, грейпфрут, лед в кубиках"
542,542,Имбирная страсть,"Положи в шейкер мякоть из маракуйи 1,5 шт., дольку корня имбиря и подави мадлером. Добавь лаймовый сок 10 мл, сахарный сироп 15 мл и белый ром 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал. Укрась четвертинкой маракуйи","белый ром, сахарный сироп, лаймовый сок, маракуйя, корень имбиря, лед в кубиках"
543,543,Пунш плантатора,"Наполни харрикейн кубиками льда доверху. Налей в шейкер лаймовый сок 10 мл, апельсиновый сок 40 мл и ананасовый сок 40 мл. Добавь сахарный сироп 10 мл, гренадин 5 мл, ангостуру биттер 1 дэш, ликер фалернум 5 мл, ликер драй оранж 10 мл, белый ром 20 мл и темный ром 20 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в харрикейн. Укрась кружком апельсина, листом и долькой ананаса, коктейльной вишней","темный ром, белый ром, ликер драй оранж, ликер фалернум, ангостура биттер, гренадин, сахарный сироп, апельсиновый сок, ананасовый сок, лаймовый сок, ананас, апельсин, ананасовые листья, коктейльная вишня красная, лед в кубиках"
544,544,Имбирный чейзер,"Литрового кувшина чейзера хватит, чтобы запить 20 стопок текилы. Положи в соковыжималку корень имбиря 400 г и сделай сок. Налей в кувшин томатный сок 600 мл, имбирный сок 200 мл и лимонный сок 180 мл. Добавь  по щепотке соли и черного перца молотого, мелко нарезанную половинку огурца, рукколу 50 г и аккуратно размешай коктейльной ложкой. Разлей золотую текилу и чейзер по стопкам. Выпей текилу и запей чейзером","золотая текила, томатный сок, лимонный сок, огурец, руккола, корень имбиря, соль, черный перец молотый"
545,545,Огуречный тини,"Положи в шейкер 4 кружка огурца и подави мадлером. Налей лимонный сок 15 мл, медовый сироп 20 мл и джин 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный флюте. Укрась четырьмя кружочками огурца на 2 коктейльных шпажках","лондонский сухой джин, медовый сироп, лимонный сок, огурец, лед в кубиках"
546,546,Водка биттер мед,Наполни хайбол кубиками льда доверху. Налей медовый сироп 10 мл и водку 50 мл. Долей биттер лемон доверху и аккуратно размешай коктейльной ложкой. Укрась долькой грейпфрута,"водка, медовый сироп, биттер лемон, грейпфрут, лед в кубиках"
547,547,Маноа,"Налей в шейкер лаймовый сок 20 мл, грейпфрутовый сок 20 мл, домашний сироп фалернум 15 мл, сироп маракуйи 15 мл, ликер пименто драм 10 мл, белый ром 45 мл и сверхкрепкий ром 30 мл. Наполни шейкер дробленым льдом и взбей. Перелей вместе со льдом в тикибокал. Укрась веточкой мяты и половинкой лайма со смоченным в абсенте кубиком сахара внутри. Подожги сахар и посыпь молотой корицей","белый ром, сверхкрепкий ром, абсент, ликер пименто драм, сироп маракуйи, домашний сироп фалернум, грейпфрутовый сок, лаймовый сок, лайм, мята, сахар в кубиках, молотая корица, дробленый лед"
548,548,Улучшенная авиация,"Налей в стакан для смешивания лимонный сок 15 мл, сироп лаванды 5 мл и фиалковый ликер 20 мл. Добавь розовую воду 2 дэш и ботаникал джин 50 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в охлажденный бокал сауэр. Укрась лимонной цедрой и цветком фиалки","лондонский сухой джин, фиалковый ликер, сироп лаванды, лимонный сок, розовая вода, цветы фиалки, лед в кубиках"
549,549,Калипсо,"Налей в шейкер белок перепелиного яйца 10 мл, лимонный сок 20 мл и домашний сироп из бобов тонка 15 мл. Добавь персиковый ликер 5 мл, ликер пименто драм 15 мл и водку 50 мл. Тщательно взбей безо льда. Наполни шейкер кубиками льда и взбей еще раз. Перелей через стрейнер в коктейльный бокал. Укрась ангостурой биттером 3 дэш и цветком фиалки","водка, ликер пименто драм, персиковый ликер, ангостура биттер, домашний сироп на бобах тонка, лимонный сок, белок перепелиного яйца, цветы фиалки, лед в кубиках"
550,550,Самоан фог каттер 2,"Наполни слинг дробленым льдом доверху. Налей в шейкер лимоннный сок 15 мл, апельсиновый сок 80 мл, миндальный сироп 20 мл, херес фино 30 мл, вишневый ликер 25 мл, джин 30 мл и белый ром 40 мл. Добавь грейпфрутовый биттер 2 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в слинг. Укрась апельсиновой цедрой, коктейльной вишней и ананасовыми листьями на шпажке","лондонский сухой джин, белый ром, вишневый ликер, херес фино, грейпфрутовый биттер, миндальный сироп, лимонный сок, апельсиновый сок, ананасовые листья, апельсиновая цедра, коктейльная вишня красная, дробленый лед, лед в кубиках"
551,551,Сникерс милкшейк,"Положи в миксер жареный арахис 4 коктейльных ложки и ванильное мороженое 200 г. Налей шоколадный сироп 10 мл, карамельный сироп 20 мл и молоко 80 мл. Взбей без добавления льда и перелей в коктейльную креманку. Укрась жареным арахисом","карамельный сироп, шоколадный сироп, молоко, ванильное мороженое, жареный арахис"
552,552,Тверская улица,"Наполни слинг кубиками льда доверху. Положи в шейкер дольку корня имбиря, мякоть небольшой дольки арбуза и подави мадлером. Налей мандариновый сироп 20 мл, лимончелло 15 мл и серебряную текилу 50 мл. Добавь перец горошком 6 шт.. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в слинг. Долей имбирное пиво доверху и аккуратно размешай коктейльной ложкой. Укрась кусочком арбуза","серебряная текила, лимончелло, мандариновый сироп, имбирное пиво, арбуз, корень имбиря, перец горошком, лед в кубиках"
553,553,Устричный шутер,"Рекомендуем готовить сразу для 10 шотов. Налей в кувшин лимонный сок 15 мл, томатный сок 200 мл, бальзамический крем 10 мл и табаско соус красный 10 мл. Добавь хрен 3 коктейльных ложки и по 1 щепотке соли и черного перца молотого. Налей  домашнюю перечную водку 200 мл и тщательно размешай коктейльной ложкой. Положи в стопку устрицу. Сверху налей готовый премикс. Подавай в устричной скорлупе со льдом, половинкой кружка лимона и каперсом","домашняя перечная водка, лимонный сок, томатный сок, устрица, лимон, каперсы, бальзамический крем, табаско соус красный, черный перец молотый, соль, хрен, дробленый лед"
554,554,Запретный плод,"Положи в стакан для смешивания ежевику 2 ягоды и подави мадлером. Налей сироп лаймовый сок 10 мл, сироп лаванды 10 мл и кальвадос 40 мл. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал","кальвадос, сироп лаванды, лаймовый сок, ежевика, лед в кубиках"
555,555,Робин Гуд,"Налей в стакан для смешивания мастиху 10 мл, красный вермут 25 мл и лондонский сухой джин 50 мл. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в охлажденный бокал. Положи в бокал чайную ложку, наполненную ванильным кремом и клюквой","лондонский сухой джин, красный вермут, мастиха, клюква, ванильный крем, лед в кубиках"
556,556,Телохранитель #2,"Налей в шейкер лимонный сок 20 мл, сухой вермут 20 мл и ликер трипл сек 20 мл. Добавь  джин 20 мл и абсент 1 дэш. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась апельсиновой цедрой","лондонский сухой джин, абсент, сухой вермут, трипл сек, лимонный сок, апельсиновая цедра, лед в кубиках"
557,557,Тики обезьяна,"Налей в тикибокал грейпфрутовый сок 10 мл, лаймовый сок 20 мл и банановое пюре 5 мл. Добавь кунжутное масло 2 дэш, кленовый сироп 20 мл, ликер пименто драм 15 мл и домашний обогащенный арахисовой пастой ром 50 мл. Наполни бокал дробленым льдом и хорошо размешай с помощью свизл стик. Досыпь немного дробленого льда. Укрась ананасовым листом, кружками банана, красной смородиной и сахарной пудрой","домашний обогащенный арахисовой пастой ром, ликер пименто драм, кленовый сироп, лаймовый сок, грейпфрутовый сок, банановое пюре, банан, красная смородина, ананасовые листья, кунжутное масло, сахарная пудра, дробленый лед"
558,558,Пача Москва,"Налей в шейкер лимонный сок 15 мл, клюквенный сок 50 мл, сахарный сироп 10 мл, дынный ликер 25 мл и водку 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась коктейльной вишней","водка, дынный ликер, сахарный сироп, клюквенный сок, лимонный сок, коктейльная вишня красная, лед в кубиках"
559,559,Ангельские сиськи,"Налей в стопку самбуку 25 мл. Используя коктейльную ложку, уложи слой яичного ликера 25 мл. Укрась коктейльной вишней на шпажке","самбука классическая, яичный ликер, коктейльная вишня красная"
560,560,Отведи меня домой,"Наполни стакан кубиками льда доверху. Налей лаймовый сок 20 мл и водку 40 мл. Добавь малиновое пюре 3 коктейльных ложки и долей имбирное пиво доверху. Аккуратно размешай коктейльной ложкой. Положи в блендер зеленый базилик 5 листиков, щепотку лецитина и молоко 30 мл. Взбей до образования пены. Укрась коктейль получившейся пеной и листиками мяты","водка, лаймовый сок, имбирное пиво, молоко, малиновое пюре, зеленый базилик, мята, лецитин, лед в кубиках"
561,561,Золотое дно,Налей в стопку золотую текилу 50 мл. Налей в другую стопку мед 10 мл. Добавь табаско соус красный 3 капли и подай с кусочком стебля сельдерея. Выпей текилу и заверши сельдереем для полноты вкуса,"золотая текила, сельдерей, мед, табаско соус красный"
562,562,Около полуночи,"Положи ледяной куб в рокс. Налей в бокал херес Амонтильядо 15 мл и домашний шоколадный вермут 15 мл. Добавь шоколадный биттер 3 дэш и домашний выдержанный ром на зизифусе 60 мл. Аккуратно размешай коктейльной ложкой. Растопи черный шоколад, окуни в него кружок апельсина и укрась им коктейль","домашний выдержанный ром на зизифусе, домашний шоколадный вермут, херес амонтильядо, шоколадный биттер, апельсин, черный шоколад, ледяной куб"
563,563,Спайс энд айс,Наполни рокс кубиками льда доверху. Налей пряный ром до половины. Подай с сухофруктами и шпажкой на блюдце,"пряный ром, курага, чернослив, лед в кубиках"
564,564,Персиковый ликер и апельсин,Наполни хайбол кубиками льда доверху. Налей персиковый ликер 50 мл. Долей апельсиновый сок доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда и укрась апельсиновой цедрой,"персиковый ликер, апельсиновый сок, апельсиновая цедра, дробленый лед, лед в кубиках"
565,565,Квесто саксессо,"Налей в стакан для смешивания пряный сироп 5 мл, малиновый ликер 10 мл, розовый вермут 40 мл и саке 30 мл. Наполни стакан для смешивания кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась долькой киви","розовый вермут, саке, малиновый ликер, пряный сироп, киви, лед в кубиках"
566,566,Дайкири Майя,"Положи в шейкер очищенную и нарезанную четвертинку авокадо и подави мадлером. Налей лимонный сок 15 мл, сироп агавы 10 мл и золотой ром 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал. Укрась ананасовым листом","золотой ром, сироп агавы, лимонный сок, авокадо, ананасовые листья, лед в кубиках"
567,567,Электрик чейзер,"Литрового кувшина чейзера хватит, чтобы запить 20 стопок текилы. Положи в стакан для смешивания нарезанный красный базилик 60 листьев. Налей сахарный сироп 50 мл, лаймовый сок 75 мл и подави мадлером. Перелей через стрейнер и ситечко в кувшин. Долей клюквенный сок 800 мл и аккуратно размешай коктейльной ложкой. Разлей золотую текилу по стопкам. Разлей чейзер по стопкам. Выпей текилу и запей чейзером","золотая текила, сахарный сироп, клюквенный сок, лаймовый сок, красный базилик"
568,568,Холодный кофе аршат,Наполни рокс дробленым льдом доверху. Налей молоко 70 мл. Налей в шейкер кофе эспрессо 30 мл и миндальный сироп 15 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в рокс,"миндальный сироп, кофе эспрессо, молоко, дробленый лед, лед в кубиках"
569,569,Теплое яблоко,"Положи в питчер шиповник 1 коктейльную ложку и кипяток 150 мл. Дай настояться несколько минут и процеди через ситечко. Добавь в питчер гвоздику 5 шт. и бадьян 1 шт.. Налей лимонный сок 30 мл, свежесваренный отвар шиповника 150 мл, медовый сироп 20 мл, сахарный сироп 10 мл и кальвадос 50 мл. Нагрей, не доводя до кипения, и перелей через ситечко в кубок. Укрась веером из долек яблока и ягодами шиповника","кальвадос, медовый сироп, сахарный сироп, лимонный сок, вода без газа, яблоко, шиповник, гвоздика, бадьян"
570,570,Молочный удар,"Налей в шейкер домашние сливки на обжаренном кофе 40 мл и италикус 15 мл. Добавь ликер фалернум 25 мл и бурбон 45 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер и ситечко в сливочник. Укрась молотым кофе, лимонной цедрой, розовым перцем и кофейными зернами","бурбон, италикус, ликер фалернум, молотый кофе, кофе в зернах, домашние сливки на обжаренном кофе, розовый перец, лимонная цедра, лед в кубиках"
571,571,Бульвардье,Наполни рокс кубиками льда доверху. Налей в бокал красный вермут 30 мл и красный биттер 30 мл. Добавь выдержанный бурбон 45 мл и размешай коктейльной ложкой. Укрась цедрой апельсина,"выдержанный бурбон, красный вермут, красный биттер, апельсиновая цедра, лед в кубиках"
572,572,Двойной олд фешен,"Положи в рокс кубик тростникового сахара, пропитанный ангостурой биттером 1 дэш, и подави мадлером. Наполни бокал кубиками льда. Налей выдержанный бурбон 50 мл. Размешивай коктейльной ложкой до растворения сахара. Выжми над бокалом эфирные масла из цедры апельсины и грейпфрута. Укрась апельсиновой цедрой","выдержанный бурбон, ангостура биттер, тростниковый сахар в кубиках, апельсиновая цедра, грейпфрутовая цедра, лед в кубиках"
573,573,Эль-Ниньо,"Налей в стопку ванильный сироп 10 мл. Используя коктейльную ложку, уложи слоями ревеневый ликер 20 мл, ликер мараскино 10 мл и писко 10 мл. Укрась двумя ягодами зеленого винограда. Выпей шот и заверши его виноградом","писко, ревеневый ликер, ликер мараскино, ванильный сироп, зеленый виноград"
574,574,Биттер мелон,Наполни хайбол кубиками льда доверху. Налей дынный ликер 50 мл . Долей биттер лемон доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда и укрась лимонной цедрой,"дынный ликер, биттер лемон, лимонная цедра, лед в кубиках, дробленый лед"
575,575,Бахус пати,"Наполни рокс дробленым льдом доверху. Налей в шейкер лимонный сок 30 мл, лаймовый сок 15 мл, домашний винный сироп 25 мл и коньяк 30 мл. Добавь ангостуру биттер 3 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в рокс. Долей просекко доверху и аккуратно размешай коктейльной ложкой. Укрась коктейль кружком апельсина и веточкой мяты","коньяк, просекко, ангостура биттер, домашний винный сироп, лаймовый сок, лимонный сок, апельсин, мята, дробленый лед, лед в кубиках"
576,576,Манхэттен после заката,"Налей в стакан для смешивания амаро 15 мл, лилле руж 15 мл и ржаной виски 50 мл. Добавь эбботс биттер 1 дэш. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в охлажденное шампанское блюдце. Укрась коктейльной вишней на шпажке","ржаной виски, амаро, лилле руж, эбботтс биттер, коктейльная вишня красная, лед в кубиках"
577,577,Номер пять,"Налей в стакан для смешивания какао ликер коричневый 5 мл, бенедиктин 20 мл и дюбонне 30 мл. Добавь ангостуру биттер 3 дэш, коньяк 30 мл и бурбон ручной работы 30 мл. Наполни стакан кубиками льда и размешай коктейльной ложкой. Аккуратно перелей через джулеп стрейнер в бутыль и закрой пробкой. Положи в рокс ледяную сферу и лимонную цедру. Подавай на подносе","выдержанный бурбон, коньяк, какао ликер коричневый, дюбонне, бенедиктин, ангостура биттер, лимонная цедра, ледяная сфера, лед в кубиках"
578,578,Мексиканский завтрак,"Наполни хайбол кубиками льда доверху. Положи в шейкер очищенную и нарезанную половинку авокадо без косточки и подави мадлером. Налей молоко 25 мл, сироп агавы 15 мл, бенедиктин 20 мл и серебряную текилу 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в хайбол. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Укрась кружками лайма","серебряная текила, бенедиктин, сироп агавы, содовая, молоко, лайм, авокадо, лед в кубиках"
579,579,Коробка с костями,"Положи ледяной куб в шампанское блюдце, украшенное пищевым сусальным золотом . Налей в шейкер белый вермут 30 мл, сухой вермут 30 мл, золотую текилу 30 мл и дабл рай виски 30 мл. Добавь бергамотовый биттер 2 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный бокал","дабл рай виски, золотая текила, белый вермут, сухой вермут, бергамот биттер, пищевое сусальное золото, лед в кубиках, ледяной куб"
580,580,Ежевичный коллинз,"Наполни кубок дробленым льдом доверху. Положи в шейкер ежевику 7 ягод, чернику 9 коктейльных ложек и подави мадлером. Налей лаймовый сок 10 мл, сахарный сироп 15 мл, ежевичный ликер 20 мл и джин 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в кубок. Досыпь немного дробленого льда. Укрась ягодами ежевики, черники и веточкой мяты","лондонский сухой джин, ежевичный ликер, сахарный сироп, лаймовый сок, черника, ежевика, мята, дробленый лед, лед в кубиках"
581,581,Имбирный виски,Наполни хайбол кубиками льда доверху. Налей шотландский виски 50 мл. Долей имбирное пиво доверху и аккуратно размешай коктейльной ложкой. Выжми лимонную цедру и укрась ею коктейль,"шотландский виски, имбирное пиво, лимонная цедра, лед в кубиках"
582,582,Гребень волны на прокачку,Положи ледяной куб в рокс. Налей в стакан для смешивания амаро 5 мл и красный вермут 45 мл. Добавь кашасу 30 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в рокс,"кашаса, красный вермут, амаро, лед в кубиках, ледяной куб"
583,583,Мама Стифлера,Наполни рокс кубиками льда доверху. Выжми в шейкер лимонный сок 15 мл и положи малиновое пюре 20 г. Добавь саке 30 мл и цитрусовую водку 40 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер и ситечко в рокс. Укрась лепестком розы,"цитрусовая водка, саке, лимонный сок, малиновое пюре, лепестки роз, лед в кубиках"
584,584,Дайкири с грейпфрутовым соком,"Налей в шейкер лаймовый сок 10 мл, грейпфрутовый сок 20 мл, сахарный сироп 20 мл и белый ром 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденное шампанское блюдце","белый ром, сахарный сироп, грейпфрутовый сок, лаймовый сок, лед в кубиках"
585,585,Дымный яблочный пирог,"Наполни рокс кубиками льда доверху. Налей в шейкер белки перепелиных яиц 25 мл, лимонный сок 15 мл, яблочный сок 50 мл, сахарный сироп 20 мл и шотландский виски 50 мл. Добавь щепотку молотой корицы. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в рокс. Укрась кожурой яблока","шотландский виски, сахарный сироп, лимонный сок, яблочный сок, белок перепелиного яйца, яблоко, молотая корица, лед в кубиках"
586,586,Джимми-Джимми,"Сделай на бокале сауэр окаемку из ванильного сахарного песка. Налей в шейкер белок перепелиного яйца 25 мл, лаймовый сок 10 мл и сахарный сироп 10 мл. Добавь кофейный ликер 20 мл, черносмородиновую водку 20 мл и домашнюю ванильную водку 20 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденный бокал сауэр","черносмородиновая водка, домашняя ванильная водка, кофейный ликер, сахарный сироп, лаймовый сок, белок перепелиного яйца, ванильный сахарный песок, лед в кубиках"
587,587,Мексиканская радуга,"Положи в рокс по одной дольке грейпфрута, апельсина, лайма и лимона и подави мадлером. Наполни рокс дробленым льдом доверху. Налей сахарный сироп 25 мл, серебряную текилу 50 мл и размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась дольками апельсина, лимона и лайма","серебряная текила, сахарный сироп, грейпфрут, лайм, лимон, апельсин, дробленый лед"
588,588,Капри,"Положи в хайбол эстрагон 30 листьев. Наполни хайбол дробленым льдом доверху. Налей лаймовый сок 10 мл, сироп лимонника 40 мл и цитрусовую  водку 40 мл. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась веточкой эстрагона и лимонной цедрой","цитрусовая водка, сироп лимонника, лаймовый сок, содовая, эстрагон, лимонная цедра, дробленый лед"
589,589,Дымный шотландец,"Положи в шейкер четвертинку апельсина, веточку тимьяна и подави мадлером. Налей белок перепелиного яйца 25 мл, лимонный сок 15 мл, ванильный сироп 15 мл и шотландский виски 50 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал. Укрась веточкой тимьяна","шотландский виски, ванильный сироп, лимонный сок, белок перепелиного яйца, апельсин, тимьян, лед в кубиках"
590,590,Крем де ля крем,"Налей в шейкер белок перепелиного яйца 25 мл, лимонный сок 15 мл, сок алоэ 5 мл, карамельный сироп 25 мл и водку 50 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась апельсиновой цедрой","водка, карамельный сироп, сок алоэ, лимонный сок, белок перепелиного яйца, апельсиновая цедра, лед в кубиках"
591,591,Самбука,"Сделай дырку на салфетке и вставь туда трубочку. Налей в коньячный бокал самбуку 50 мл. Брось в рокс несколько зерен кофе. Поставь бокал на рокс и подожги самбуку. Пока самбука горит, крути коньячный бокал. Через 30 секунд перелей самбуку в рокс. Поставь коньячный бокал вверх дном на салфетку с трубочкой. Выпей самбуку, закуси кофейными зернами и вдохни пары через трубочку","самбука классическая, кофе в зернах"
592,592,Индийский физз,Наполни хайбол кубиками льда доверху. Налей содовую 45 мл и домашний индийский микс 60 мл. Долей тоник доверху и аккуратно размешай коктейльной ложкой. Укрась молотой корицей,"домашний индийский микс, содовая, тоник, молотая корица, лед в кубиках"
